765,52.5,-0.1
797828,51.5,51.3,0.0
797889,51.6,51.1,0.0
797950,51.5,51.0,0.0
798012,51.3,51.3,-0.0
798073,50.8,51.1,-0.0
798136,51.2,51.2,0.0
798197,51.1,51.5,-0.0
798259,51.1,51.5,-0.0
798320,51.1,51.5,-0.0
798383,51.6,51.1,0.0
798444,51.3,51.7,-0.0
798505,51.8,51.7,0.0
798567,51.4,52.2,-0.1
798629,52.1,52.2,-0.0
798691,52.0,51.8,0.0
798752,51.6,51.3,0.0
798815,51.1,51.3,-0.0
798876,51.1,50.8,0.0
798938,51.5,51.1,0.0
798999,51.5,50.6,0.1
799060,51.8,50.1,0.1
799122,51.3,50.2,0.1
799184,51.4,50.5,0.1
799246,51.7,49.9,0.1
799307,51.7,50.0,0.1
799369,51.7,50.3,0.1
799430,51.2,50.3,0.1
799493,51.5,50.4,0.1
799554,51.5,49.8,0.1
799616,51.5,49.8,0.1
799677,51.5,49.8,0.1
799738,51.5,49.8,0.1
799800,51.5,50.3,0.1
799862,51.5,50.4,0.1
