695,66.8,67.4,-0.0
751766,66.9,66.8,0.0
49,67.5,67.2,0.0
751512,67.0,66.9,0.0
751576,67.0,66.5,0.0
751639,67.3,66.9,0.0
751703,66.8,67.4,-0.0
751766,66.9,66.8,0.0
751830,67.4,66.8,0.0
751893,66.8,66.8,0.0
751956,66.8,67.2,-0.0
752020,66.8,67.2,-0.0
752083,67.2,67.2,-0.0
752148,67.3,66.8,0.0
752211,66.9,66.8,0.0
752275,66.9,67.2,-0.0
752338,66.9,67.3,-0.0
752402,66.9,67.5,-0.1
752465,66.8,67.1,-0.0
752529,67.2,66.7,0.0
752592,67.6,67.1,0.0
752656,67.1,67.5,-0.0
752719,67.1,66.5,0.0
752783,67.1,66.5,0.0
752846,66.8,66.7,0.0
752910,67.8,66.8,0.1
752973,67.6,67.1,0.0
753037,68.9,67.4,0.1
753100,68.9,67.4,0.1
753164,69.5,68.4,0.1
753228,69.8,68.8,0.1
753292,70.8,70.2,0.1
753356,78.3,72.2,0.5
753421,77.4,74.6,0.2
753485,77.5,74.6,0.2
753551,79.4,76.9,0.2
753615,77.0,76.9,0.0
753680,78.0,77.5,0.0
753744,79.5,78.9,0.1
753810,81.0,80.0,0.1
753875,82.9,82.1,0.1
753941,85.4,84.9,0.0
754007,87.0,87.7,-0.1
754073,89.8,89.3,0.0
754140,90.8,91.2,-0.0
754206,92.8,94.0,-0.1
754273,94.4,96.4,-0.2
754340,96.4,102.3,-0.5
754407,97.9,100.5,-0.2
754475,100.3,103.7,-0.3
754543,103.4,103.7,-0.0
754611,106.8,106.6,0.0
754680,115.5,110.9,0.4
754750,120.9,114.5,0.5
754821,131.6,130.6,0.1
754890,117.7,119.5,-0.1
754960,118.3,119.2,-0.1
755030,121.0,121.1,-0.0
755100,122.6,122.8,-0.0
755171,125.7,126.0,-0.0
755241,128.1,128.6,-0.0
755313,131.4,138.3,-0.6
755385,136.1,137.1,-0.1
755496,805.8,143.2,55.2
755569,144.1,145.9,-0.2
755681,805.8,149.2,54.7
755792,805.9,154.6,54.3
755867,158.5,156.3,0.2
755942,157.4,172.3,-1.2
756017,161.7,158.3,0.3
756092,166.9,166.9,0.0
756167,167.6,167.4,0.0
756318,805.4,800.4,0.4
756395,181.0,185.7,-0.4
756470,174.9,175.1,-0.0
756584,179.5,800.3,-51.7
756662,188.6,181.2,0.6
756739,184.1,183.2,0.1
756852,186.0,800.4,-51.2
757002,805.3,800.5,0.4
757152,805.2,800.4,0.4
757302,805.3,800.4,0.4
757452,805.2,800.3,0.4
757602,805.2,800.4,0.4
757751,805.2,800.4,0.4
757902,805.1,800.4,0.4
758051,805.1,800.4,0.4
758201,805.4,800.5,0.4
758351,805.8,800.3,0.5
758501,805.7,800.4,0.4
758651,805.7,800.3,0.4
758801,805.8,800.3,0.5
758950,805.8,800.5,0.4
759101,805.9,800.3,0.5
759250,805.9,800.3,0.5
759401,805.8,800.3,0.5
759550,805.9,800.4,0.5
759700,805.8,800.4,0.5
759851,805.8,800.3,0.5
760000,805.8,800.3,0.5
760151,805.6,800.3,0.4
760300,805.8,800.4,0.4
760450,805.8,800.4,0.4
760600,805.5,800.3,0.4
760750,805.3,800.3,0.4
760900,805.2,800.3,0.4
761050,805.2,800.3,0.4
761199,805.3,800.4,0.4
761350,805.6,800.3,0.4
761499,805.9,800.3,0.5
761650,805.8,800.4,0.5
761799,805.8,800.4,0.4
761949,805.9,800.3,0.5
762099,805.9,800.3,0.5
762215,805.9,220.8,48.8
762364,805.9,800.4,0.5
762480,805.9,209.9,49.7
762630,805.8,800.5,0.4
762744,805.8,194.4,51.0
762859,805.7,190.8,51.2
762973,805.8,185.3,51.7
763086,805.8,180.8,52.1
763163,182.8,177.6,0.4
763277,178.7,800.4,-51.8
763389,805.9,168.1,53.1
763464,166.3,164.7,0.1
763539,162.3,165.9,-0.3
763615,163.8,162.1,0.1
763726,805.8,157.0,54.1
763801,164.2,153.8,0.9
763913,160.6,800.3,-53.3
763986,141.5,156.7,-1.3
764059,137.7,145.7,-0.7
764131,151.8,133.9,1.5
764204,147.8,130.1,1.5
764274,129.9,127.6,0.2
764345,126.7,124.7,0.2
764414,123.3,122.8,0.0
764484,119.5,119.8,-0.0
764554,116.6,117.1,-0.0
764623,119.8,115.9,0.3
764694,117.5,126.3,-0.7
764763,107.1,113.0,-0.5
764830,103.3,103.6,-0.0
764898,100.6,101.1,-0.0
764965,97.7,98.7,-0.1
765032,96.0,98.7,-0.2
765099,93.2,94.3,-0.1
765165,91.3,92.5,-0.1
765232,89.2,89.4,-0.0
765297,87.5,85.9,0.1
765363,85.5,82.6,0.2
765427,81.5,79.5,0.2
765493,78.6,76.7,0.2
765557,75.3,73.9,0.1
765621,73.0,72.4,0.1
765685,71.0,70.3,0.1
765749,69.9,68.4,0.1
765812,69.0,66.5,0.2
765876,69.8,64.3,0.5
765939,66.4,62.9,0.3
766002,62.0,61.1,0.1
766064,59.8,58.7,0.1
766127,58.0,56.9,0.1
766189,56.4,56.1,0.0
766252,57.0,55.4,0.1
766314,56.0,53.7,0.2
766375,54.6,53.2,0.1
766437,52.9,52.9,0.0
766499,52.5,52.2,0.0
766561,51.5,51.5,0.0
766622,51.5,51.0,0.0
766684,51.1,50.1,0.1
