.8,8484,805.2,800.3,0.4
275635,805.2,800.5,0.4
275784,805.2,800.3,0.4
.3,0.5
275184,805.8,800.4,0.5
275335,805.2,800.2,0.4
275484,805.2,800.3,0.4
275635,805.2,800.5,0.4
275784,805.2,800.3,0.4
.3,0.5
275184,805.8,800.4,0.5
275335,805.2,800.2,0.4
275484,805.2,800.3,0.4
275635,805.2,800.5,0.4
275784,805.2,800.3,0.4
275934,805.9,800.4,0.5
276084,805.8,800.4,0.5
276234,805.9,800.4,0.5
276384,805.9,800.5,0.4
276534,805.9,800.3,0.5
276683,806.0,800.4,0.5
276834,805.9,800.4,0.5
276983,805.8,800.4,0.5
277134,805.8,800.4,0.5
277283,805.8,800.4,0.5
277433,805.2,800.3,0.4
277583,805.4,800.4,0.4
277733,805.9,800.4,0.5
277883,805.8,800.4,0.5
278033,805.9,800.4,0.5
278182,805.9,800.3,0.5
278333,805.8,800.3,0.5
278482,805.9,800.3,0.5
278633,805.9,800.5,0.4
278782,805.9,800.3,0.5
278932,805.8,800.4,0.4
279083,805.9,800.3,0.5
279232,805.9,800.4,0.5
279383,805.9,800.4,0.5
279532,805.9,800.4,0.5
279682,805.9,800.4,0.5
279832,805.9,800.4,0.5
279982,805.9,800.3,0.5
280132,805.8,800.4,0.4
280282,805.3,800.3,0.4
280431,805.3,800.4,0.4
280582,805.2,800.4,0.4
280731,805.3,800.3,0.4
280881,805.3,800.6,0.4
281031,805.4,800.4,0.4
281181,806.0,800.4,0.5
281331,805.9,800.4,0.5
281481,806.0,800.3,0.5
281631,806.0,800.5,0.5
281781,806.0,800.3,0.5
281889,108.0,800.3,-57.7
281999,106.4,800.3,-57.8
282148,805.9,800.3,0.5
282299,805.8,800.3,0.5
282405,79.8,800.5,-60.1
282471,79.3,81.8,-0.2
282578,77.3,800.3,-60.2
282685,75.6,800.3,-60.4
282792,77.8,800.3,-60.2
282857,74.1,79.2,-0.4
282921,74.6,78.2,-0.3
282987,74.9,79.1,-0.3
283053,76.9,92.2,-1.3
283118,91.5,77.9,1.1
283183,78.3,78.1,0.0
283248,80.1,80.1,-0.0
283313,80.5,80.3,0.0
283378,81.7,80.5,0.1
283444,93.4,80.8,1.0
283509,93.8,81.5,1.0
283576,94.7,82.4,1.0
283642,84.5,94.2,-0.8
283708,95.4,83.4,1.0
283774,97.8,83.5,1.2
283883,805.7,94.3,59.3
283950,96.6,84.2,1.0
284016,97.7,94.5,0.3
284083,99.3,96.8,0.2
284150,98.0,93.9,0.3
284217,99.5,95.4,0.3
284325,99.3,800.4,-58.4
284476,805.2,800.5,0.4
284584,805.3,102.1,58.6
284734,805.3,800.4,0.4
284884,805.2,800.4,0.4
285034,805.3,800.4,0.4
285184,805.2,800.5,0.4
285334,805.3,800.4,0.4
285484,805.2,800.4,0.4
285634,805.2,800.3,0.4
285784,805.3,800.3,0.4
285933,805.3,800.5,0.4
286084,805.3,800.4,0.4
286233,805.3,800.3,0.4
286383,805.3,800.4,0.4
286533,805.3,800.3,0.4
286683,805.2,800.3,0.4
286833,805.2,800.4,0.4
286983,805.8,800.4,0.4
287132,805.8,800.4,0.5
287283,805.9,800.3,0.5
287432,805.9,800.3,0.5
287583,805.8,800.4,0.5
287732,805.9,800.4,0.5
287882,805.8,800.5,0.4
288032,805.8,800.4,0.4
288182,805.9,800.3,0.5
288332,805.8,800.3,0.5
288482,805.8,800.5,0.4
288631,806.0,800.5,0.5
288782,805.9,800.4,0.5
288931,805.9,800.4,0.5
289082,805.7,800.4,0.4
289231,805.9,800.4,0.5
289381,805.9,800.4,0.5
289531,805.9,800.4,0.5
289681,805.8,800.3,0.5
289831,805.8,800.4,0.4
289981,805.9,800.4,0.5
290130,805.9,800.5,0.4
290281,805.9,800.4,0.5
